,Time,r,theta,vx,vy
82,82,78.27297595271568,0.43142422721271656,-15.087555053963573,1.1063381065961808
83,83,77.10930112104226,0.19088579346022425,-16.0462450025431,-0.7929578034003149
84,84,76.64740330747071,0.0985835434639351,-15.098408327963547,0.38485712658315613
85,85,78.50723620979763,0.6695760531947399,-16.707941050905713,0.7813937855769599
86,86,76.83689354039444,-0.7294421260638361,-16.68559206086772,0.6858179369460177
87,87,77.81081497141628,0.15804062992208046,-17.378204922803437,1.8203794689491852
88,88,78.97534142471002,-0.7201251694804932,-17.795806147784564,1.0222222001912566
89,89,79.66672970059653,-0.784661136411591,-17.025727024850006,2.4160648161705187
90,90,80.16296857322855,-0.41466588868788107,-15.101348135009118,1.564440197952332
91,91,80.28158828548334,-0.43792514266644544,-16.591197724209557,0.9140420167224077
92,92,79.52697068688134,0.11820190364814503,-17.37247058931455,0.885132270814383
93,93,79.91129931431874,-0.31214669747150436,-16.140526229808078,-0.6838711537874904
94,94,78.88660079468809,-0.6358089549587974,-17.631767507641577,0.9196601916966853
95,95,80.53779705700039,-0.5405410080452615,-15.32617155076302,0.6815266795233161
96,96,79.88807793806292,-0.017526665156004817,-13.860552664879815,1.0617116824473087
97,97,81.74817877423074,-0.012044332751921377,-14.637719319155725,1.2743070910112941
98,98,82.3375279657998,-0.20074983893056114,-12.094808018413545,0.20598886573451783
99,99,82.71511976971128,-0.9257344468085531,-12.749416559129621,0.7088316644949745
100,100,83.52414676687853,-0.3220649575936832,-12.03519104426226,0.4572867151622795
101,101,82.2000966722889,-0.2595437928286093,-10.739780805244475,1.3789100248900852
102,102,83.0256241506076,-0.9847913423443095,-10.559306830496876,0.02739033383961581
103,103,85.29917995384683,-0.09700537733509354,-11.140400482023704,-0.7272064463666752
104,104,83.79563188498365,-0.7646965783140303,-10.151655636355839,-0.19940770536287733
105,105,83.34158304166604,-0.8534982415141319,-9.676857758324786,-1.48861191934184
106,106,85.90933984656891,-0.22001293288204868,-9.698866375303616,-0.3001931332274904
107,107,85.89695415055606,-0.20986907856051792,-11.122088535934965,2.015955503867481
108,108,85.53841809384787,-0.1793298200796685,-11.017939563391362,-0.9141554873192665
109,109,87.52379120180196,-0.2704964886637846,-10.374685092058396,-1.0325895204694948
110,110,88.04217674987926,-0.5697553920064513,-9.668174006291721,-0.36606588999694756
111,111,85.41275000011323,-0.32384361142854634,-10.861622385406722,2.1663988850182982
112,112,87.00111032003136,-0.7747113294160894,-9.573310533644271,1.515795058550852
113,113,85.95657112156775,-0.37984382795800603,-10.16531077019386,1.5713891552172632
114,114,88.39869389265837,0.4789765774529182,-10.038474271525814,0.25201219279683074
115,115,88.58918156126784,0.16286842282779546,-10.256106219445286,-0.16736451793285811
