,Time,r,theta
106,106,110.10028076129552,-1.6019497148586024
107,107,110.82125524618732,-1.6096867323202335
108,108,111.60045977157152,-1.6188712427386576
109,109,112.31240685693761,-1.6279089761062648
110,110,113.04990065405175,-1.6383730869855713
111,111,113.71989141295418,-1.649002514631187
112,112,114.35690397980753,-1.6605193149704764
113,113,114.92717682839283,-1.6724036929339376
114,114,115.26892265170585,-1.6805278089800197
115,115,115.58002955012306,-1.688825732023743
116,116,115.8575615413398,-1.697195978036016
117,117,116.10488088138258,-1.7057270078208553
118,118,116.41279866010865,-1.718673371905266
119,119,116.5757328800082,-1.7274507977011742
120,120,116.72104459233249,-1.7364245616494267
121,121,116.86901502625638,-1.7497958651764116
122,122,116.93708511386916,-1.7588417732160297
123,123,116.99895046144417,-1.7680122623749488
124,124,117.06596437664308,-1.7820448571451242
125,125,117.12509516544027,-1.7914595408877525
126,126,117.22421522964154,-1.8057080506938048
127,127,117.35240689222645,-1.8201035092705893
128,128,117.47572361856709,-1.8297624603683056
129,129,117.73286186560556,-1.8442819259473189
130,130,118.04758844725879,-1.8588711224880001
131,131,118.420313169641,-1.8735129793175014
132,132,118.84057110264432,-1.8882064120371784
133,133,119.14275601109401,-1.8980327624669588
134,134,119.62532734429244,-1.9128070462355662
135,135,120.14201019350575,-1.9276379021285033
136,136,120.69185234460318,-1.9425070484313327
137,137,121.27489363129939,-1.957404392672271
138,138,121.90630530773777,-1.97226937371678
139,139,122.61614595378741,-1.98696671159847
140,140,123.64479864606541,-2.0060659631582403
141,141,124.46165564193943,-2.0198849275934596
142,142,125.35864544521331,-2.0341040109959874
143,143,126.23186246806603,-2.04724828523077
144,144,127.44351351469435,-2.064589434403278
145,145,128.41701496703269,-2.077884894127419
146,146,129.34788499782394,-2.0901305212110044
147,147,130.66692384435405,-2.1067750757472643
148,148,131.70508510603167,-2.11934196803213
149,149,132.78237566228978,-2.131925846531293
150,150,134.19479440303502,-2.1477738186004736
151,151,135.2922132373429,-2.1596158178025666
152,152,136.74215912169328,-2.174678319581685
153,153,137.87076702181682,-2.1859747984038758
154,154,139.39810650245678,-2.200709285256285
155,155,140.55369548818362,-2.211462759525766
156,156,141.7226290772026,-2.222016141493543
157,157,142.91964217897106,-2.232504163712068
158,158,144.09451121275296,-2.2425014741985136
159,159,145.70261627718108,-2.255736545412702
160,160,146.96000306782312,-2.265744123922593
161,161,148.1811270986646,-2.275192488309071
162,162,149.35468080361193,-2.2840340962404255
163,163,150.80741800783045,-2.2946709449965073
164,164,151.84596093498257,-2.302075609131587
165,165,152.89992387209273,-2.3094281349239525
166,166,154.3108933178888,-2.3191643870790286
167,167,155.28826358024315,-2.3261512888029676
168,168,156.20459616445734,-2.3331189217126016
169,169,157.05558655301684,-2.340085164635814
170,170,157.8850342910053,-2.3475244201118857
171,171,158.6457235412979,-2.355100691413836
172,172,159.39713124066355,-2.3635895729650906
173,173,159.84984306161363,-2.369337443089063
174,174,160.45121308229977,-2.3779710723390033
175,175,160.94715516054583,-2.386448461182193
176,176,161.33612233584327,-2.3946005088648246
177,177,161.55096596906904,-2.400105437917806
178,178,161.7993554805751,-2.4082020780147264
179,179,161.9674681588612,-2.416083624547976
180,180,162.04009591603142,-2.4212069210700244
181,181,162.09670082463288,-2.4286954000162675
182,182,162.1011981875397,-2.433537563594368
183,183,162.08111148821166,-2.4382705642383793
184,184,162.00472837725042,-2.445143608286348
185,185,161.9238368235205,-2.449555440747539
186,186,161.75958820196502,-2.455902716067713
187,187,161.62219348445913,-2.459978015047916
188,188,161.46403737634196,-2.463923404858511
189,189,161.189693822253,-2.4696112662472887
190,190,160.98499582946877,-2.4732238360721075
191,191,160.7639957443191,-2.4766995686602105
192,192,160.40615887478805,-2.481635408571865
193,193,160.15010920563049,-2.4847632368606893
194,194,159.8819976132415,-2.487751411514575
195,195,159.60304939491382,-2.4905999258944886
196,196,159.16516238099226,-2.494629459069667
197,197,158.86415025706103,-2.4971320316711347
198,198,158.55630838982637,-2.499498278221228
199,199,158.25285177793148,-2.501796465466166
200,200,157.8238010132384,-2.5052001777259205
201,201,157.54513824157618,-2.5074395758786094
202,202,157.27123901985314,-2.509653159548583
203,203,156.86759883974565,-2.512937897606465
204,204,156.60368018397716,-2.5151016499160077
205,205,156.34657677011225,-2.517221967733456
206,206,156.08990628539033,-2.51934151459629
207,207,155.71069399768894,-2.522518513102438
208,208,155.46260780657434,-2.524615502374423
209,209,155.08931349236155,-2.5277993363995668
210,210,154.839263845464,-2.5299362696069596
211,211,154.59066676139594,-2.5320773077076533
212,212,154.2109173186351,-2.5353755482776386
213,213,153.94721125473137,-2.5376797591977316
214,214,153.67330453094692,-2.540088347639657
215,215,153.24201744995256,-2.5439149702935615
216,216,152.94416416397073,-2.5465788503765814
217,217,152.63912858847922,-2.549330276681263
218,218,152.16770176919343,-2.5536237353551154
219,219,151.84187870237758,-2.5566215785798816
220,220,151.5089796611287,-2.5597117884472773
221,221,150.99364931550966,-2.56454841978075
222,222,150.64317991518288,-2.5678764709975286
223,223,150.10716000349487,-2.573027227688873
224,224,149.7406088199768,-2.576593056517425
225,225,149.1778382453701,-2.582138797776916
226,226,148.7969812015031,-2.5859416658697354
227,227,148.41081421017734,-2.5898397757456015
228,228,147.8238331518793,-2.595848435595668
229,229,147.22918785887688,-2.602134745258549
230,230,146.84597369732086,-2.6064969543030485
